Total_Children,Available_Caregivers,Shelter_Capacity,Emergency_Cases,Average_Stay_Days,Budget,Region,Age_Group,Care_Load
122,65,269,24,143,494306,North,Child,Low
290,55,118,11,39,306146,West,Child,High
126,52,124,8,116,65958,East,Teen,Low
91,25,344,9,174,401930,South,Teen,Low
208,58,322,9,91,253691,North,Child,Medium
40,60,54,8,123,246328,West,Teen,Low
122,63,301,25,102,268364,West,Child,Low
141,76,195,34,85,117002,West,Teen,Medium
234,55,279,26,142,99887,North,Teen,High
107,24,116,30,86,312483,East,Teen,Medium
119,63,171,18,140,160083,South,Child,Low
171,75,163,37,30,362672,West,Child,Medium
150,13,308,5,7,398783,North,Teen,Medium
169,5,155,14,63,132624,West,Teen,Medium
277,33,345,28,120,381404,East,Teen,High
211,67,170,4,135,418637,South,Teen,Low
296,76,132,13,170,103570,West,Child,Medium
180,60,255,1,134,71643,North,Child,Low
41,72,92,22,149,110252,East,Teen,Low
272,39,323,18,40,403724,South,Child,High
255,7,335,23,90,191406,North,Teen,High
68,11,283,19,102,148856,West,Child,Medium
78,31,209,26,128,413939,North,Teen,Low
189,5,69,23,77,112977,South,Child,High
207,75,293,16,114,312933,East,Teen,Medium
290,48,218,24,126,346085,East,Child,High
209,45,37,30,134,50552,West,Teen,High
194,79,133,27,166,331950,West,Child,Medium
70,46,254,27,31,86979,West,Teen,Low
74,37,63,21,169,189895,West,Teen,Low
263,54,265,4,154,81980,South,Child,Medium
150,67,257,7,72,50860,West,Child,Low
154,41,217,37,18,50290,North,Child,Medium
40,63,342,27,102,354561,South,Teen,Low
186,52,51,11,27,129880,South,Teen,Medium
293,9,69,24,176,449086,West,Teen,High
108,52,202,37,119,83397,South,Child,Medium
33,7,208,14,116,155311,North,Teen,Low
261,51,115,33,100,328330,South,Child,High
284,66,162,12,82,285319,South,Teen,Medium
72,18,42,7,65,165162,North,Teen,Low
111,67,57,12,89,202088,North,Teen,Low
283,65,113,35,75,381760,South,Child,High
54,35,347,5,89,128508,East,Teen,Low
225,21,309,37,54,117296,South,Teen,High
100,28,292,31,144,192346,North,Child,Medium
69,27,195,20,19,73304,North,Teen,Low
21,54,322,6,149,258774,North,Child,Low
73,74,97,25,38,250006,East,Teen,Low
125,31,255,14,39,408305,North,Teen,Low
279,19,199,22,43,228770,West,Child,High
210,54,115,37,137,257123,West,Teen,High
237,40,162,14,34,326849,East,Child,Medium
63,12,207,39,136,217401,North,Child,Medium
181,7,281,15,147,240808,North,Teen,High
221,66,44,31,107,365140,West,Teen,Medium
289,51,252,36,167,322751,West,Teen,High
290,65,230,17,78,234028,South,Teen,High
234,36,136,19,59,342150,East,Teen,High
271,17,279,1,64,390698,South,Child,High
209,5,118,22,28,256424,East,Child,High
232,38,154,29,26,428340,North,Child,High
227,66,142,2,176,463710,North,Child,Low
256,75,166,38,36,202309,East,Child,High
72,35,276,0,99,253439,South,Teen,Low
299,68,195,21,87,353107,West,Child,High
236,29,179,28,7,473757,East,Child,High
271,42,97,13,74,53447,East,Teen,High
